Id_Cliente,id_Agencia,Frecuencia,Vol_Entrega,lat,lon,cluster
1,A1,1,2.0,20.506052,-98.212377,4
2,A1,1,17.0,20.458128,-98.221248,4
3,A1,1,2.0,20.530427,-98.23686,4
4,A1,3,15.0,20.488654999999998,-98.20294,4
5,A1,1,2.0,20.533253,-98.219669,4
6,A1,1,19.0,20.53106,-98.182642,4
7,A1,1,6.0,20.594012,-98.1875,4
8,A1,1,20.0,20.489329,-98.166364,4
9,A1,1,15.0,20.5751,-98.2281,4
10,A1,1,10.0,20.5807,-98.2694,4
11,A1,1,45.0,20.458076000000002,-98.175466,4
12,A1,1,2.0,20.490847,-98.184088,4
13,A1,2,13.0,20.537454,-98.140527,4
14,A1,1,17.0,20.523875,-98.238248,4
15,A1,1,21.0,20.56259,-98.13835300000001,4
16,A1,1,12.0,20.5433,-98.228,4
17,A1,2,13.5,20.519419,-98.228799,4
18,A1,2,7.0,20.539439,-98.231014,4
19,A1,1,11.0,20.547675,-98.130903,4
20,A1,1,12.0,20.5715,-98.2583,4
21,A1,1,20.0,20.6018,-98.2287,4
22,A1,2,12.0,20.534294,-98.163798,4
23,A1,2,10.0,20.465644,-98.222902,4
24,A1,2,17.0,20.499111,-98.12862700000001,4
25,A1,2,15.0,20.473419,-98.221992,4
26,A1,1,14.0,20.554420999999998,-98.15779,4
27,A1,3,18.33333333,20.465444,-98.173468,4
28,A1,2,11.5,20.502785,-98.164261,4
29,A1,2,23.5,20.493008,-98.151931,4
30,A1,2,14.5,20.497429999999998,-98.145606,4
31,A1,2,47.5,20.495552,-98.18625,4
32,A1,2,16.5,20.45594,-98.211674,4
33,A1,2,11.0,20.481170000000002,-98.155563,4
34,A1,1,25.0,20.493948,-98.22495699999999,4
35,A1,2,16.5,20.482479,-98.1758,4
36,A1,2,22.5,20.554633,-98.195613,4
37,A1,2,18.5,20.462128,-98.161783,4
38,A1,2,11.0,20.547421,-98.190225,4
39,A1,2,23.0,20.473162,-98.147779,4
40,A1,2,15.5,20.463607,-98.180356,4
41,A1,2,13.0,20.522907999999997,-98.208586,4
42,A1,2,10.5,20.533673999999998,-98.173938,4
43,A1,2,12.0,20.493085999999998,-98.117522,4
44,A1,2,12.0,20.526645000000002,-98.15602,4
45,A1,1,28.0,20.501725,-98.127486,4
46,A1,3,9.333333332999999,20.532144,-98.186759,4
47,A1,2,15.0,20.47287,-98.192298,4
48,A1,2,3.5,20.49484,-98.22800600000001,4
49,A1,2,18.5,20.496306,-98.23561099999999,4
50,A1,2,10.5,20.516132,-98.21208100000001,4
51,A1,1,23.0,20.4501,-98.2166,4
52,A1,2,14.5,20.518438,-98.223294,4
53,A1,2,43.0,20.503456,-98.144774,4
54,A1,2,8.5,20.577456,-98.185753,4
55,A1,2,10.5,20.54071,-98.187598,4
56,A1,3,18.33333333,20.458748999999997,-98.17041400000001,4
57,A1,3,21.66666667,20.495939,-98.18733,4
58,A1,3,14.33333333,20.480026000000002,-98.178043,4
59,A1,2,5.0,20.534038,-98.204665,4
60,A1,2,4.0,20.529422,-98.204617,4
61,A1,2,10.0,20.50756,-98.222328,4
62,A1,2,22.5,20.462422,-98.149805,4
63,A1,1,36.0,20.449966,-98.216872,4
64,A1,2,7.5,20.488714,-98.157698,4
65,A1,3,17.0,20.481474,-98.145925,4
66,A1,2,9.0,20.548609,-98.179069,4
67,A1,2,4.5,20.532515,-98.182858,4
68,A1,2,15.0,20.515283,-98.199704,4
69,A1,2,14.0,20.524724,-98.17479200000001,4
70,A1,2,6.5,20.52615,-98.177082,4
71,A1,2,35.5,20.51908,-98.124314,4
72,A1,2,14.5,20.508635,-98.169386,4
73,A1,2,21.0,20.527413,-98.227856,4
74,A1,2,14.5,20.477549,-98.21190899999999,4
75,A1,2,9.5,20.492629,-98.230754,4
76,A1,2,30.5,20.485572,-98.19912,4
77,A1,2,19.5,20.454866,-98.179994,4
78,A1,2,9.5,20.5314,-98.2046,4
79,A1,2,9.5,20.5235,-98.2306,4
80,A1,2,13.5,20.503683,-98.161735,4
81,A1,1,31.0,20.504232000000002,-98.173212,4
82,A1,2,15.0,20.448693,-98.211302,4
83,A1,2,5.5,20.4802,-98.2382,4
84,A1,2,17.0,20.520784,-98.144438,4
85,A1,1,3.0,20.4696,-98.2186,4
86,A1,2,22.5,20.492217,-98.14939100000001,4
87,A1,2,18.0,20.476243,-98.16869100000001,4
88,A1,1,15.0,20.497234,-98.232715,4
89,A1,2,13.0,20.46455,-98.23034200000001,4
90,A1,2,15.5,20.483394,-98.15303,4
91,A1,2,25.5,20.470415,-98.186302,4
92,A1,2,8.5,20.527642999999998,-98.191137,4
93,A1,2,17.5,20.474128,-98.233201,4
94,A1,2,9.0,20.495234,-98.217019,4
95,A1,2,10.5,20.536645,-98.18587,4
96,A1,2,18.5,20.473549,-98.18943,4
97,A1,2,34.5,20.474206,-98.208561,4
98,A1,1,21.0,20.485109,-98.246224,4
99,A1,2,8.0,20.527906,-98.17441,4
100,A1,2,21.5,20.50483,-98.141064,4
101,A1,2,7.5,20.4778,-98.1815,4
102,A1,3,10.0,20.5234,-98.18370999999999,4
103,A1,2,20.5,20.475039000000002,-98.153927,4
104,A1,2,19.0,20.521495,-98.22958100000001,4
105,A1,2,12.0,20.528102,-98.217267,4
106,A1,2,22.0,20.480415,-98.279344,4
107,A1,1,28.0,20.566921,-98.133002,4
108,A1,2,13.0,20.486465,-98.129685,4
109,A1,2,11.5,20.485352,-98.192131,4
110,A1,3,18.33333333,20.485803,-98.18866700000001,4
111,A1,3,14.0,20.461937,-98.177861,4
112,A1,1,4.0,20.52075,-98.25961600000001,4
113,A1,1,8.0,20.532465,-98.203786,4
114,A1,3,9.0,20.522612,-98.185379,4
115,A1,2,22.5,20.551607,-98.137348,4
116,A1,2,11.0,20.465089000000003,-98.23876899999999,4
117,A1,2,39.0,20.470469,-98.19979000000001,4
118,A1,2,13.0,20.53624,-98.199864,4
119,A1,2,36.0,20.489828,-98.202713,4
120,A1,3,8.0,20.478005,-98.206183,4
121,A1,1,1.0,20.52385,-98.213734,4
122,A1,2,28.5,20.525172,-98.157348,4
123,A1,1,25.0,20.479673000000002,-98.16073,4
124,A1,2,13.5,20.543262,-98.178655,4
125,A1,2,25.0,20.495153,-98.131315,4
126,A1,2,24.5,20.494344,-98.226674,4
127,A1,2,18.0,20.469681,-98.175219,4
128,A1,1,23.0,20.504168,-98.147131,4
129,A1,1,6.0,20.540766,-98.18494100000001,4
130,A1,2,12.0,20.52692,-98.213034,4
131,A1,2,10.5,20.467558,-98.21856,4
132,A1,2,5.0,20.5493,-98.20224499999999,4
133,A1,2,29.0,20.490107000000002,-98.13918199999999,4
134,A1,2,17.5,20.462276,-98.226731,4
135,A1,2,16.0,20.482632000000002,-98.236812,4
136,A1,2,7.5,20.491636,-98.24289,4
137,A1,2,11.5,20.538559,-98.19973399999999,4
138,A1,3,26.0,20.474885999999998,-98.194088,4
139,A1,2,11.0,20.47705,-98.23639399999999,4
140,A1,2,16.0,20.481562,-98.15630999999999,4
141,A1,2,16.5,20.557,-98.1445,4
142,A1,3,18.33333333,20.502078,-98.218762,4
143,A1,1,8.0,20.5309,-98.2139,4
144,A1,2,9.0,20.537185,-98.150875,4
145,A1,2,14.5,20.465162,-98.195285,4
146,A1,2,17.0,20.480215,-98.177162,4
147,A1,2,12.0,20.490545,-98.23819,4
148,A1,2,11.0,20.505463,-98.215231,4
149,A1,2,20.5,20.499236,-98.181788,4
150,A1,2,17.5,20.476010000000002,-98.222711,4
151,A1,2,13.5,20.5263,-98.1951,4
152,A1,2,10.0,20.552569000000002,-98.192705,4
153,A1,2,13.0,20.474364,-98.227089,4
154,A1,2,11.5,20.482979999999998,-98.124189,4
155,A1,2,8.0,20.542884,-98.194375,4
156,A1,2,9.5,20.486144,-98.25162399999999,4
157,A1,2,17.0,20.481622,-98.172185,4
158,A1,2,31.5,20.518287,-98.161252,4
159,A1,2,7.5,20.465597,-98.213555,4
160,A1,2,25.5,20.4616,-98.1946,4
161,A1,2,14.0,20.485781,-98.138398,4
162,A1,2,13.0,20.495656,-98.142581,4
163,A1,3,12.66666667,20.464037,-98.13413100000001,4
164,A1,3,10.66666667,20.543366,-98.171084,4
165,A1,1,17.0,20.55128,-98.182608,4
166,A1,2,31.0,20.532926999999997,-98.163884,4
167,A1,3,14.66666667,20.484347,-98.15521899999999,4
168,A1,2,9.0,20.53135,-98.18966800000001,4
169,A1,2,13.5,20.488429999999997,-98.242866,4
170,A1,2,19.5,20.470986,-98.259796,4
171,A1,3,15.33333333,20.468372,-98.176532,4
172,A1,1,25.0,20.535196,-98.11144200000001,4
173,A1,3,9.0,20.488591,-98.181538,4
174,A1,2,18.5,20.462529,-98.240426,4
175,A1,1,18.0,20.547334,-98.20143,4
176,A1,3,17.66666667,20.485035,-98.158633,4
177,A1,2,14.5,20.546881,-98.177417,4
178,A1,1,29.0,20.472912,-98.23870500000001,4
179,A1,3,15.33333333,20.476776,-98.237931,4
180,A1,2,26.0,20.50198,-98.157691,4
181,A1,2,11.0,20.515204999999998,-98.215453,4
182,A1,3,13.0,20.524944,-98.199106,4
183,A1,2,30.0,20.458041,-98.151099,4
184,A1,2,9.5,20.537658999999998,-98.18254499999999,4
185,A1,1,18.0,20.483874,-98.142607,4
186,A1,2,19.5,20.508503,-98.18853299999999,4
187,A1,2,22.0,20.540135,-98.202383,4
188,A1,2,12.0,20.502625,-98.23217,4
189,A1,2,19.0,20.534024,-98.196457,4
190,A1,2,16.0,20.4929,-98.1868,4
191,A1,3,17.66666667,20.472113,-98.208568,4
192,A1,2,6.5,20.472324,-98.226688,4
193,A1,2,29.5,20.511284,-98.141649,4
194,A1,3,6.333333333,20.467267,-98.146274,4
195,A1,2,23.5,20.464092,-98.161028,4
196,A1,2,12.0,20.5299,-98.2314,4
197,A1,2,6.5,20.478697,-98.190977,4
198,A1,2,11.5,20.492069,-98.138465,4
199,A1,2,13.0,20.500178,-98.160615,4
200,A1,2,41.5,20.463978,-98.146695,4
201,A1,1,0.0,20.496988,-98.259924,4
202,A1,2,17.5,20.527082,-98.228124,4
203,A1,2,9.0,20.544527,-98.22364499999999,4
204,A1,1,13.0,20.542844,-98.192011,4
205,A1,2,12.0,20.494726999999997,-98.254899,4
206,A1,2,14.0,20.532453,-98.114173,4
207,A1,2,23.5,20.494613,-98.168092,4
208,A1,2,30.5,20.457026000000003,-98.17036800000001,4
209,A1,2,19.0,20.458991,-98.21298399999999,4
210,A1,2,27.5,20.480665,-98.210798,4
211,A1,2,22.0,20.482446,-98.158314,4
212,A1,2,10.5,20.525219,-98.238348,4
213,A1,1,26.0,20.500224,-98.132374,4
214,A1,2,11.5,20.473126999999998,-98.21660200000001,4
215,A1,1,24.0,20.503887,-98.232414,4
216,A1,1,53.0,20.537173000000003,-98.165541,4
217,A1,1,6.0,20.526903,-98.199759,4
218,A1,2,12.0,20.524703,-98.216829,4
