Instance_number,Id_Cliente,id_Agencia,Frecuencia,Vol_Entrega,lat,lon,Cluster
0,0,A1,0,0.011429,0.409848,-98.212377,cluster2
1,0.000276,A1,0,0.097143,0.133261,-98.221248,cluster2
2,0.000552,A1,0,0.011429,0.550525,-98.23686,cluster5
3,0.000828,A1,1,0.085714,0.309444,-98.20294,cluster2
4,0.001104,A1,0,0.011429,0.566835,-98.219669,cluster5
5,0.00138,A1,0,0.108571,0.554179,-98.182642,cluster2
6,0.001656,A1,0,0.034286,0.917498,-98.1875,cluster5
7,0.001932,A1,0,0.114286,0.313334,-98.166364,cluster2
8,0.002208,A1,0,0.085714,0.80835,-98.2281,cluster5
9,0.002483,A1,0,0.057143,0.84067,-98.2694,cluster5
10,0.002759,A1,0,0.257143,0.132961,-98.175466,cluster2
11,0.003035,A1,0,0.011429,0.322095,-98.184088,cluster2
12,0.003311,A1,0.5,0.074286,0.591081,-98.140527,cluster5
13,0.003587,A1,0,0.097143,0.512711,-98.238248,cluster2
14,0.003863,A1,0,0.12,0.73615,-98.138353,cluster5
15,0.004139,A1,0,0.068571,0.62482,-98.228,cluster5
16,0.004415,A1,0.5,0.077143,0.486994,-98.228799,cluster2
17,0.004691,A1,0.5,0.04,0.602537,-98.231014,cluster5
18,0.004967,A1,0,0.062857,0.65007,-98.130903,cluster5
19,0.005243,A1,0,0.068571,0.787573,-98.2583,cluster5
20,0.005519,A1,0,0.114286,0.962446,-98.2287,cluster5
21,0.005795,A1,0.5,0.068571,0.572843,-98.163798,cluster5
22,0.006071,A1,0.5,0.057143,0.176639,-98.222902,cluster2
23,0.006347,A1,0.5,0.097143,0.369789,-98.128627,cluster2
24,0.006623,A1,0.5,0.085714,0.221511,-98.221992,cluster2
25,0.006898,A1,0,0.08,0.689004,-98.15779,cluster5
26,0.007174,A1,1,0.104762,0.175484,-98.173468,cluster2
27,0.00745,A1,0.5,0.065714,0.390993,-98.164261,cluster2
28,0.007726,A1,0.5,0.134286,0.334566,-98.151931,cluster2
29,0.008002,A1,0.5,0.082857,0.360087,-98.145606,cluster2
30,0.008278,A1,0.5,0.271429,0.349249,-98.18625,cluster2
31,0.008554,A1,0.5,0.094286,0.120633,-98.211674,cluster2
