Id_Cliente,id_Agencia,Frecuencia,Vol_Entrega,lat,lon,cluster
1,A1,1,2.0,20.506052,-98.212377,3
2,A1,1,17.0,20.458128,-98.221248,3
3,A1,1,2.0,20.530427,-98.23686,3
4,A1,3,15.0,20.488654999999998,-98.20294,3
5,A1,1,2.0,20.533253,-98.219669,3
6,A1,1,19.0,20.53106,-98.182642,3
7,A1,1,6.0,20.594012,-98.1875,3
8,A1,1,20.0,20.489329,-98.166364,3
9,A1,1,15.0,20.5751,-98.2281,3
10,A1,1,10.0,20.5807,-98.2694,3
11,A1,1,45.0,20.458076000000002,-98.175466,3
12,A1,1,2.0,20.490847,-98.184088,3
13,A1,2,13.0,20.537454,-98.140527,3
14,A1,1,17.0,20.523875,-98.238248,3
15,A1,1,21.0,20.56259,-98.13835300000001,3
16,A1,1,12.0,20.5433,-98.228,3
17,A1,2,13.5,20.519419,-98.228799,3
18,A1,2,7.0,20.539439,-98.231014,3
19,A1,1,11.0,20.547675,-98.130903,3
20,A1,1,12.0,20.5715,-98.2583,3
21,A1,1,20.0,20.6018,-98.2287,3
22,A1,2,12.0,20.534294,-98.163798,3
23,A1,2,10.0,20.465644,-98.222902,3
24,A1,2,17.0,20.499111,-98.12862700000001,3
25,A1,2,15.0,20.473419,-98.221992,3
26,A1,1,14.0,20.554420999999998,-98.15779,3
27,A1,3,18.33333333,20.465444,-98.173468,3
28,A1,2,11.5,20.502785,-98.164261,3
29,A1,2,23.5,20.493008,-98.151931,3
30,A1,2,14.5,20.497429999999998,-98.145606,3
31,A1,2,47.5,20.495552,-98.18625,3
32,A1,2,16.5,20.45594,-98.211674,3
33,A1,2,11.0,20.481170000000002,-98.155563,3
34,A1,1,25.0,20.493948,-98.22495699999999,3
35,A1,2,16.5,20.482479,-98.1758,3
36,A1,2,22.5,20.554633,-98.195613,3
37,A1,2,18.5,20.462128,-98.161783,3
38,A1,2,11.0,20.547421,-98.190225,3
39,A1,2,23.0,20.473162,-98.147779,3
40,A1,2,15.5,20.463607,-98.180356,3
41,A1,2,13.0,20.522907999999997,-98.208586,3
42,A1,2,10.5,20.533673999999998,-98.173938,3
43,A1,2,12.0,20.493085999999998,-98.117522,3
44,A1,2,12.0,20.526645000000002,-98.15602,3
45,A1,1,28.0,20.501725,-98.127486,3
46,A1,3,9.333333332999999,20.532144,-98.186759,3
47,A1,2,15.0,20.47287,-98.192298,3
48,A1,2,3.5,20.49484,-98.22800600000001,3
49,A1,2,18.5,20.496306,-98.23561099999999,3
50,A1,2,10.5,20.516132,-98.21208100000001,3
51,A1,1,23.0,20.4501,-98.2166,3
52,A1,2,14.5,20.518438,-98.223294,3
53,A1,2,43.0,20.503456,-98.144774,3
54,A1,2,8.5,20.577456,-98.185753,3
55,A1,2,10.5,20.54071,-98.187598,3
56,A1,3,18.33333333,20.458748999999997,-98.17041400000001,3
57,A1,3,21.66666667,20.495939,-98.18733,3
58,A1,3,14.33333333,20.480026000000002,-98.178043,3
59,A1,2,5.0,20.534038,-98.204665,3
60,A1,2,4.0,20.529422,-98.204617,3
61,A1,2,10.0,20.50756,-98.222328,3
62,A1,2,22.5,20.462422,-98.149805,3
63,A1,1,36.0,20.449966,-98.216872,3
64,A1,2,7.5,20.488714,-98.157698,3
65,A1,3,17.0,20.481474,-98.145925,3
66,A1,2,9.0,20.548609,-98.179069,3
67,A1,2,4.5,20.532515,-98.182858,3
68,A1,2,15.0,20.515283,-98.199704,3
69,A1,2,14.0,20.524724,-98.17479200000001,3
70,A1,2,6.5,20.52615,-98.177082,3
71,A1,2,35.5,20.51908,-98.124314,3
72,A1,2,14.5,20.508635,-98.169386,3
73,A1,2,21.0,20.527413,-98.227856,3
74,A1,2,14.5,20.477549,-98.21190899999999,3
75,A1,2,9.5,20.492629,-98.230754,3
76,A1,2,30.5,20.485572,-98.19912,3
77,A1,2,19.5,20.454866,-98.179994,3
78,A1,2,9.5,20.5314,-98.2046,3
79,A1,2,9.5,20.5235,-98.2306,3
80,A1,2,13.5,20.503683,-98.161735,3
81,A1,1,31.0,20.504232000000002,-98.173212,3
82,A1,2,15.0,20.448693,-98.211302,3
83,A1,2,5.5,20.4802,-98.2382,3
84,A1,2,17.0,20.520784,-98.144438,3
85,A1,1,3.0,20.4696,-98.2186,3
86,A1,2,22.5,20.492217,-98.14939100000001,3
87,A1,2,18.0,20.476243,-98.16869100000001,3
88,A1,1,15.0,20.497234,-98.232715,3
89,A1,2,13.0,20.46455,-98.23034200000001,3
90,A1,2,15.5,20.483394,-98.15303,3
91,A1,2,25.5,20.470415,-98.186302,3
92,A1,2,8.5,20.527642999999998,-98.191137,3
93,A1,2,17.5,20.474128,-98.233201,3
94,A1,2,9.0,20.495234,-98.217019,3
95,A1,2,10.5,20.536645,-98.18587,3
96,A1,2,18.5,20.473549,-98.18943,3
97,A1,2,34.5,20.474206,-98.208561,3
98,A1,1,21.0,20.485109,-98.246224,3
99,A1,2,8.0,20.527906,-98.17441,3
100,A1,2,21.5,20.50483,-98.141064,3
101,A1,2,7.5,20.4778,-98.1815,3
102,A1,3,10.0,20.5234,-98.18370999999999,3
103,A1,2,20.5,20.475039000000002,-98.153927,3
104,A1,2,19.0,20.521495,-98.22958100000001,3
105,A1,2,12.0,20.528102,-98.217267,3
106,A1,2,22.0,20.480415,-98.279344,3
107,A1,1,28.0,20.566921,-98.133002,3
108,A1,2,13.0,20.486465,-98.129685,3
109,A1,2,11.5,20.485352,-98.192131,3
110,A1,3,18.33333333,20.485803,-98.18866700000001,3
111,A1,3,14.0,20.461937,-98.177861,3
112,A1,1,4.0,20.52075,-98.25961600000001,3
113,A1,1,8.0,20.532465,-98.203786,3
114,A1,3,9.0,20.522612,-98.185379,3
115,A1,2,22.5,20.551607,-98.137348,3
116,A1,2,11.0,20.465089000000003,-98.23876899999999,3
117,A1,2,39.0,20.470469,-98.19979000000001,3
118,A1,2,13.0,20.53624,-98.199864,3
119,A1,2,36.0,20.489828,-98.202713,3
120,A1,3,8.0,20.478005,-98.206183,3
121,A1,1,1.0,20.52385,-98.213734,3
122,A1,2,28.5,20.525172,-98.157348,3
123,A1,1,25.0,20.479673000000002,-98.16073,3
124,A1,2,13.5,20.543262,-98.178655,3
125,A1,2,25.0,20.495153,-98.131315,3
126,A1,2,24.5,20.494344,-98.226674,3
127,A1,2,18.0,20.469681,-98.175219,3
128,A1,1,23.0,20.504168,-98.147131,3
129,A1,1,6.0,20.540766,-98.18494100000001,3
130,A1,2,12.0,20.52692,-98.213034,3
131,A1,2,10.5,20.467558,-98.21856,3
132,A1,2,5.0,20.5493,-98.20224499999999,3
133,A1,2,29.0,20.490107000000002,-98.13918199999999,3
134,A1,2,17.5,20.462276,-98.226731,3
135,A1,2,16.0,20.482632000000002,-98.236812,3
136,A1,2,7.5,20.491636,-98.24289,3
137,A1,2,11.5,20.538559,-98.19973399999999,3
138,A1,3,26.0,20.474885999999998,-98.194088,3
139,A1,2,11.0,20.47705,-98.23639399999999,3
140,A1,2,16.0,20.481562,-98.15630999999999,3
141,A1,2,16.5,20.557,-98.1445,3
142,A1,3,18.33333333,20.502078,-98.218762,3
143,A1,1,8.0,20.5309,-98.2139,3
144,A1,2,9.0,20.537185,-98.150875,3
145,A1,2,14.5,20.465162,-98.195285,3
146,A1,2,17.0,20.480215,-98.177162,3
147,A1,2,12.0,20.490545,-98.23819,3
148,A1,2,11.0,20.505463,-98.215231,3
149,A1,2,20.5,20.499236,-98.181788,3
150,A1,2,17.5,20.476010000000002,-98.222711,3
151,A1,2,13.5,20.5263,-98.1951,3
152,A1,2,10.0,20.552569000000002,-98.192705,3
153,A1,2,13.0,20.474364,-98.227089,3
154,A1,2,11.5,20.482979999999998,-98.124189,3
155,A1,2,8.0,20.542884,-98.194375,3
156,A1,2,9.5,20.486144,-98.25162399999999,3
157,A1,2,17.0,20.481622,-98.172185,3
158,A1,2,31.5,20.518287,-98.161252,3
159,A1,2,7.5,20.465597,-98.213555,3
160,A1,2,25.5,20.4616,-98.1946,3
161,A1,2,14.0,20.485781,-98.138398,3
162,A1,2,13.0,20.495656,-98.142581,3
163,A1,3,12.66666667,20.464037,-98.13413100000001,3
164,A1,3,10.66666667,20.543366,-98.171084,3
165,A1,1,17.0,20.55128,-98.182608,3
166,A1,2,31.0,20.532926999999997,-98.163884,3
167,A1,3,14.66666667,20.484347,-98.15521899999999,3
168,A1,2,9.0,20.53135,-98.18966800000001,3
169,A1,2,13.5,20.488429999999997,-98.242866,3
170,A1,2,19.5,20.470986,-98.259796,3
171,A1,3,15.33333333,20.468372,-98.176532,3
172,A1,1,25.0,20.535196,-98.11144200000001,3
173,A1,3,9.0,20.488591,-98.181538,3
174,A1,2,18.5,20.462529,-98.240426,3
175,A1,1,18.0,20.547334,-98.20143,3
176,A1,3,17.66666667,20.485035,-98.158633,3
177,A1,2,14.5,20.546881,-98.177417,3
178,A1,1,29.0,20.472912,-98.23870500000001,3
179,A1,3,15.33333333,20.476776,-98.237931,3
180,A1,2,26.0,20.50198,-98.157691,3
181,A1,2,11.0,20.515204999999998,-98.215453,3
182,A1,3,13.0,20.524944,-98.199106,3
183,A1,2,30.0,20.458041,-98.151099,3
184,A1,2,9.5,20.537658999999998,-98.18254499999999,3
185,A1,1,18.0,20.483874,-98.142607,3
186,A1,2,19.5,20.508503,-98.18853299999999,3
187,A1,2,22.0,20.540135,-98.202383,3
188,A1,2,12.0,20.502625,-98.23217,3
189,A1,2,19.0,20.534024,-98.196457,3
190,A1,2,16.0,20.4929,-98.1868,3
191,A1,3,17.66666667,20.472113,-98.208568,3
192,A1,2,6.5,20.472324,-98.226688,3
193,A1,2,29.5,20.511284,-98.141649,3
194,A1,3,6.333333333,20.467267,-98.146274,3
195,A1,2,23.5,20.464092,-98.161028,3
196,A1,2,12.0,20.5299,-98.2314,3
197,A1,2,6.5,20.478697,-98.190977,3
198,A1,2,11.5,20.492069,-98.138465,3
199,A1,2,13.0,20.500178,-98.160615,3
200,A1,2,41.5,20.463978,-98.146695,3
201,A1,1,0.0,20.496988,-98.259924,3
202,A1,2,17.5,20.527082,-98.228124,3
203,A1,2,9.0,20.544527,-98.22364499999999,3
204,A1,1,13.0,20.542844,-98.192011,3
205,A1,2,12.0,20.494726999999997,-98.254899,3
206,A1,2,14.0,20.532453,-98.114173,3
207,A1,2,23.5,20.494613,-98.168092,3
208,A1,2,30.5,20.457026000000003,-98.17036800000001,3
209,A1,2,19.0,20.458991,-98.21298399999999,3
210,A1,2,27.5,20.480665,-98.210798,3
211,A1,2,22.0,20.482446,-98.158314,3
212,A1,2,10.5,20.525219,-98.238348,3
213,A1,1,26.0,20.500224,-98.132374,3
214,A1,2,11.5,20.473126999999998,-98.21660200000001,3
215,A1,1,24.0,20.503887,-98.232414,3
216,A1,1,53.0,20.537173000000003,-98.165541,3
217,A1,1,6.0,20.526903,-98.199759,3
218,A1,2,12.0,20.524703,-98.216829,3
219,A1,2,10.5,20.540418,-98.186565,3
220,A1,1,5.0,20.444457999999997,-98.23025,3
221,A1,2,22.0,20.475413,-98.25624300000001,3
222,A1,3,14.66666667,20.476419,-98.176469,3
223,A1,2,7.5,20.506731,-98.15777800000001,3
224,A1,2,35.5,20.523549,-98.145043,3
225,A1,1,17.0,20.507752,-98.230363,3
226,A1,2,7.5,20.469296,-98.24095799999999,3
227,A1,1,27.0,20.470139,-98.241015,3
228,A1,2,7.5,20.555401999999997,-98.201212,3
229,A1,2,9.5,20.475022,-98.167216,3
230,A1,2,26.0,20.487251999999998,-98.175219,3
231,A1,2,17.0,20.490451,-98.136738,3
232,A1,2,14.5,20.52368,-98.184811,3
233,A1,2,22.0,20.506495,-98.164682,3
234,A1,2,21.0,20.520771,-98.146915,3
235,A1,2,12.5,20.461545,-98.215923,3
236,A1,2,15.5,20.497806,-98.25133000000001,3
237,A1,2,20.5,20.485022,-98.20636800000001,3
238,A1,2,23.5,20.491647,-98.204934,3
239,A1,2,21.0,20.472048,-98.241901,3
240,A1,2,11.0,20.483059,-98.240524,3
241,A1,2,20.0,20.478123,-98.179653,3
242,A1,1,42.0,20.481878,-98.251538,3
243,A1,1,17.0,20.471327,-98.167084,3
244,A1,1,3.0,20.479049,-98.147094,3
245,A1,1,6.0,20.535974,-98.221491,3
246,A1,1,2.0,20.486371,-98.24969300000001,3
247,A1,1,29.0,20.513302,-98.156207,3
248,A1,1,57.0,20.508027,-98.11529499999999,3
249,A1,1,8.0,20.47025,-98.160619,3
250,A1,1,66.0,20.536498,-98.172849,3
251,A1,1,6.0,20.451165,-98.180464,3
252,A1,1,2.0,20.534159,-98.145739,3
253,A1,1,14.0,20.492923,-98.230725,3
254,A1,2,1.0,20.449226,-98.192193,3
255,A1,1,23.0,20.498026,-98.209776,3
256,A1,1,20.0,20.489145999999998,-98.207543,3
257,A1,1,27.0,20.543719,-98.116523,3
258,A1,2,28.0,20.522014000000002,-98.234268,3
259,A1,1,3.0,20.542929,-98.176835,3
260,A1,1,41.0,20.502183,-98.21794200000001,3
261,A1,1,15.0,20.498243,-98.17675600000001,3
262,A1,1,4.0,20.554029,-98.199161,3
263,A1,1,2.0,20.478920000000002,-98.245175,3
264,A1,1,26.0,20.546326,-98.160166,3
265,A1,1,13.0,20.497653,-98.16928100000001,3
266,A1,1,3.0,20.504547,-98.25489499999999,3
267,A1,1,7.0,20.485917999999998,-98.172226,3
268,A1,1,3.0,20.438257,-98.145764,3
269,A1,1,3.0,20.460061,-98.171306,3
270,A1,2,1.5,20.52679,-98.232656,3
271,A1,1,3.0,20.486376,-98.12695699999999,3
272,A1,1,4.0,20.53756,-98.198954,3
273,A1,1,48.0,20.483407999999997,-98.170687,3
274,A1,1,6.0,20.523197,-98.238487,3
275,A1,1,2.0,20.487408,-98.259557,3
276,A1,1,21.0,20.561239,-98.12138,3
277,A1,1,4.0,20.608307,-98.178299,3
278,A1,1,5.0,20.492779000000002,-98.135988,3
279,A1,1,27.0,20.545103,-98.21764399999999,3
280,A1,1,7.0,20.481662,-98.132009,3
281,A1,1,7.0,20.484878,-98.24965999999999,3
282,A1,1,3.0,20.475486,-98.236836,3
283,A1,1,5.0,20.472068,-98.189683,3
284,A1,2,30.0,20.521074,-98.226608,3
285,A1,1,4.0,20.533870999999998,-98.225585,3
