Id_Cliente,id_Agencia,Frecuencia,Vol_Entrega,lat,lon,cluster
1,A1,1,2.0,20.506052,-98.212377,5
2,A1,1,17.0,20.458128,-98.221248,5
3,A1,1,2.0,20.530427,-98.23686,5
4,A1,3,15.0,20.488654999999998,-98.20294,5
5,A1,1,2.0,20.533253,-98.219669,5
6,A1,1,19.0,20.53106,-98.182642,5
7,A1,1,6.0,20.594012,-98.1875,5
8,A1,1,20.0,20.489329,-98.166364,5
9,A1,1,15.0,20.5751,-98.2281,5
10,A1,1,10.0,20.5807,-98.2694,5
11,A1,1,45.0,20.458076000000002,-98.175466,5
12,A1,1,2.0,20.490847,-98.184088,5
13,A1,2,13.0,20.537454,-98.140527,5
14,A1,1,17.0,20.523875,-98.238248,5
15,A1,1,21.0,20.56259,-98.13835300000001,5
16,A1,1,12.0,20.5433,-98.228,5
17,A1,2,13.5,20.519419,-98.228799,5
18,A1,2,7.0,20.539439,-98.231014,5
19,A1,1,11.0,20.547675,-98.130903,5
20,A1,1,12.0,20.5715,-98.2583,5
21,A1,1,20.0,20.6018,-98.2287,5
22,A1,2,12.0,20.534294,-98.163798,5
23,A1,2,10.0,20.465644,-98.222902,5
24,A1,2,17.0,20.499111,-98.12862700000001,5
25,A1,2,15.0,20.473419,-98.221992,5
26,A1,1,14.0,20.554420999999998,-98.15779,5
27,A1,3,18.33333333,20.465444,-98.173468,5
28,A1,2,11.5,20.502785,-98.164261,5
29,A1,2,23.5,20.493008,-98.151931,5
30,A1,2,14.5,20.497429999999998,-98.145606,5
31,A1,2,47.5,20.495552,-98.18625,5
32,A1,2,16.5,20.45594,-98.211674,5
33,A1,2,11.0,20.481170000000002,-98.155563,5
34,A1,1,25.0,20.493948,-98.22495699999999,5
35,A1,2,16.5,20.482479,-98.1758,5
36,A1,2,22.5,20.554633,-98.195613,5
37,A1,2,18.5,20.462128,-98.161783,5
38,A1,2,11.0,20.547421,-98.190225,5
39,A1,2,23.0,20.473162,-98.147779,5
40,A1,2,15.5,20.463607,-98.180356,5
41,A1,2,13.0,20.522907999999997,-98.208586,5
42,A1,2,10.5,20.533673999999998,-98.173938,5
43,A1,2,12.0,20.493085999999998,-98.117522,5
44,A1,2,12.0,20.526645000000002,-98.15602,5
45,A1,1,28.0,20.501725,-98.127486,5
46,A1,3,9.333333332999999,20.532144,-98.186759,5
47,A1,2,15.0,20.47287,-98.192298,5
48,A1,2,3.5,20.49484,-98.22800600000001,5
49,A1,2,18.5,20.496306,-98.23561099999999,5
50,A1,2,10.5,20.516132,-98.21208100000001,5
51,A1,1,23.0,20.4501,-98.2166,5
52,A1,2,14.5,20.518438,-98.223294,5
53,A1,2,43.0,20.503456,-98.144774,5
54,A1,2,8.5,20.577456,-98.185753,5
55,A1,2,10.5,20.54071,-98.187598,5
56,A1,3,18.33333333,20.458748999999997,-98.17041400000001,5
57,A1,3,21.66666667,20.495939,-98.18733,5
58,A1,3,14.33333333,20.480026000000002,-98.178043,5
59,A1,2,5.0,20.534038,-98.204665,5
60,A1,2,4.0,20.529422,-98.204617,5
61,A1,2,10.0,20.50756,-98.222328,5
62,A1,2,22.5,20.462422,-98.149805,5
63,A1,1,36.0,20.449966,-98.216872,5
64,A1,2,7.5,20.488714,-98.157698,5
65,A1,3,17.0,20.481474,-98.145925,5
66,A1,2,9.0,20.548609,-98.179069,5
67,A1,2,4.5,20.532515,-98.182858,5
68,A1,2,15.0,20.515283,-98.199704,5
69,A1,2,14.0,20.524724,-98.17479200000001,5
70,A1,2,6.5,20.52615,-98.177082,5
71,A1,2,35.5,20.51908,-98.124314,5
72,A1,2,14.5,20.508635,-98.169386,5
73,A1,2,21.0,20.527413,-98.227856,5
74,A1,2,14.5,20.477549,-98.21190899999999,5
75,A1,2,9.5,20.492629,-98.230754,5
76,A1,2,30.5,20.485572,-98.19912,5
77,A1,2,19.5,20.454866,-98.179994,5
