Id_Cliente,id_Agencia,Frecuencia,Vol_Entrega,lat,lon,cluster
1,0,1,2.0,20.506052,-98.212377,5
2,0,1,17.0,20.458128,-98.221248,5
3,0,1,2.0,20.530427,-98.23686,5
4,0,3,15.0,20.488655,-98.20294,5
5,0,1,2.0,20.533253,-98.219669,5
6,0,1,19.0,20.53106,-98.182642,5
7,0,1,6.0,20.594012,-98.1875,5
8,0,1,20.0,20.489329,-98.166364,5
9,0,1,15.0,20.5751,-98.2281,5
10,0,1,10.0,20.5807,-98.2694,5
11,0,1,45.0,20.458076,-98.175466,5
12,0,1,2.0,20.490847,-98.184088,5
13,0,2,13.0,20.537454,-98.140527,5
14,0,1,17.0,20.523875,-98.238248,5
15,0,1,21.0,20.56259,-98.138353,5
16,0,1,12.0,20.5433,-98.228,5
17,0,2,13.5,20.519419,-98.228799,5
18,0,2,7.0,20.539439,-98.231014,5
19,0,1,11.0,20.547675,-98.130903,5
20,0,1,12.0,20.5715,-98.2583,5
21,0,1,20.0,20.6018,-98.2287,5
22,0,2,12.0,20.534294,-98.163798,5
23,0,2,10.0,20.465644,-98.222902,5
24,0,2,17.0,20.499111,-98.128627,5
25,0,2,15.0,20.473419,-98.221992,5
26,0,1,14.0,20.554421,-98.15779,5
27,0,3,18.33333333,20.465444,-98.173468,5
28,0,2,11.5,20.502785,-98.164261,5
29,0,2,23.5,20.493008,-98.151931,5
30,0,2,14.5,20.49743,-98.145606,5
31,0,2,47.5,20.495552,-98.18625,5
32,0,2,16.5,20.45594,-98.211674,5
33,0,2,11.0,20.48117,-98.155563,5
34,0,1,25.0,20.493948,-98.224957,5
35,0,2,16.5,20.482479,-98.1758,5
36,0,2,22.5,20.554633,-98.195613,5
37,0,2,18.5,20.462128,-98.161783,5
38,0,2,11.0,20.547421,-98.190225,5
39,0,2,23.0,20.473162,-98.147779,5
40,0,2,15.5,20.463607,-98.180356,5
41,0,2,13.0,20.522908,-98.208586,5
42,0,2,10.5,20.533674,-98.173938,5
43,0,2,12.0,20.493086,-98.117522,5
44,0,2,12.0,20.526645,-98.15602,5
45,0,1,28.0,20.501725,-98.127486,5
46,0,3,9.333333332999999,20.532144,-98.186759,5
47,0,2,15.0,20.47287,-98.192298,5
48,0,2,3.5,20.49484,-98.228006,5
49,0,2,18.5,20.496306,-98.235611,5
50,0,2,10.5,20.516132,-98.212081,5
51,0,1,23.0,20.4501,-98.2166,5
52,0,2,14.5,20.518438,-98.223294,5
53,0,2,43.0,20.503456,-98.144774,5
54,0,2,8.5,20.577456,-98.185753,5
55,0,2,10.5,20.54071,-98.187598,5
56,0,3,18.33333333,20.458749,-98.170414,5
57,0,3,21.66666667,20.495939,-98.18733,5
58,0,3,14.33333333,20.480026,-98.178043,5
59,0,2,5.0,20.534038,-98.204665,5
60,0,2,4.0,20.529422,-98.204617,5
61,0,2,10.0,20.50756,-98.222328,5
62,0,2,22.5,20.462422,-98.149805,5
63,0,1,36.0,20.449966,-98.216872,5
64,0,2,7.5,20.488714,-98.157698,5
65,0,3,17.0,20.481474,-98.145925,5
66,0,2,9.0,20.548609,-98.179069,5
67,0,2,4.5,20.532515,-98.182858,5
68,0,2,15.0,20.515283,-98.199704,5
69,0,2,14.0,20.524724,-98.174792,5
70,0,2,6.5,20.52615,-98.177082,5
71,0,2,35.5,20.51908,-98.124314,5
72,0,2,14.5,20.508635,-98.169386,5
73,0,2,21.0,20.527413,-98.227856,5
74,0,2,14.5,20.477549,-98.211909,5
75,0,2,9.5,20.492629,-98.230754,5
76,0,2,30.5,20.485572,-98.19912,5
77,0,2,19.5,20.454866,-98.179994,5
78,0,2,9.5,20.5314,-98.2046,5
79,0,2,9.5,20.5235,-98.2306,5
80,0,2,13.5,20.503683,-98.161735,5
81,0,1,31.0,20.504232,-98.173212,5
82,0,2,15.0,20.448693,-98.211302,5
83,0,2,5.5,20.4802,-98.2382,5
84,0,2,17.0,20.520784,-98.144438,5
85,0,1,3.0,20.4696,-98.2186,5
86,0,2,22.5,20.492217,-98.149391,5
87,0,2,18.0,20.476243,-98.168691,5
88,0,1,15.0,20.497234,-98.232715,5
89,0,2,13.0,20.46455,-98.230342,5
90,0,2,15.5,20.483394,-98.15303,5
91,0,2,25.5,20.470415,-98.186302,5
92,0,2,8.5,20.527643,-98.191137,5
93,0,2,17.5,20.474128,-98.233201,5
94,0,2,9.0,20.495234,-98.217019,5
95,0,2,10.5,20.536645,-98.18587,5
96,0,2,18.5,20.473549,-98.18943,5
97,0,2,34.5,20.474206,-98.208561,5
98,0,1,21.0,20.485109,-98.246224,5
99,0,2,8.0,20.527906,-98.17441,5
100,0,2,21.5,20.50483,-98.141064,5
101,0,2,7.5,20.4778,-98.1815,5
102,0,3,10.0,20.5234,-98.18371,5
103,0,2,20.5,20.475039,-98.153927,5
104,0,2,19.0,20.521495,-98.229581,5
105,0,2,12.0,20.528102,-98.217267,5
106,0,2,22.0,20.480415,-98.279344,5
107,0,1,28.0,20.566921,-98.133002,5
108,0,2,13.0,20.486465,-98.129685,5
109,0,2,11.5,20.485352,-98.192131,5
110,0,3,18.33333333,20.485803,-98.188667,5
111,0,3,14.0,20.461937,-98.177861,5
112,0,1,4.0,20.52075,-98.259616,5
113,0,1,8.0,20.532465,-98.203786,5
114,0,3,9.0,20.522612,-98.185379,5
115,0,2,22.5,20.551607,-98.137348,5
116,0,2,11.0,20.465089000000006,-98.238769,5
117,0,2,39.0,20.470469,-98.19979,5
118,0,2,13.0,20.53624,-98.199864,5
119,0,2,36.0,20.489828,-98.202713,5
120,0,3,8.0,20.478005,-98.206183,5
121,0,1,1.0,20.52385,-98.213734,5
122,0,2,28.5,20.525172,-98.157348,5
123,0,1,25.0,20.479673,-98.16073,5
124,0,2,13.5,20.543262,-98.178655,5
125,0,2,25.0,20.495153,-98.131315,5
126,0,2,24.5,20.494344,-98.226674,5
127,0,2,18.0,20.469681,-98.175219,5
128,0,1,23.0,20.504168,-98.147131,5
129,0,1,6.0,20.540766,-98.184941,5
130,0,2,12.0,20.52692,-98.213034,5
131,0,2,10.5,20.467558,-98.21856,5
132,0,2,5.0,20.5493,-98.202245,5
133,0,2,29.0,20.490107,-98.139182,5
134,0,2,17.5,20.462276,-98.226731,5
135,0,2,16.0,20.482632,-98.236812,5
136,0,2,7.5,20.491636,-98.24289,5
137,0,2,11.5,20.538559,-98.199734,5
138,0,3,26.0,20.474886,-98.194088,5
139,0,2,11.0,20.47705,-98.236394,5
140,0,2,16.0,20.481562,-98.15631,5
141,0,2,16.5,20.557,-98.1445,5
142,0,3,18.33333333,20.502078,-98.218762,5
143,0,1,8.0,20.5309,-98.2139,5
144,0,2,9.0,20.537185,-98.150875,5
145,0,2,14.5,20.465162,-98.195285,5
146,0,2,17.0,20.480215,-98.177162,5
147,0,2,12.0,20.490545,-98.23819,5
148,0,2,11.0,20.505463,-98.215231,5
149,0,2,20.5,20.499236,-98.181788,5
150,0,2,17.5,20.47601,-98.222711,5
151,0,2,13.5,20.5263,-98.1951,5
152,0,2,10.0,20.552569,-98.192705,5
153,0,2,13.0,20.474364,-98.227089,5
154,0,2,11.5,20.48298,-98.124189,5
155,0,2,8.0,20.542884,-98.194375,5
156,0,2,9.5,20.486144,-98.251624,5
157,0,2,17.0,20.481622,-98.172185,5
158,0,2,31.5,20.518287,-98.161252,5
159,0,2,7.5,20.465597,-98.213555,5
160,0,2,25.5,20.4616,-98.1946,5
161,0,2,14.0,20.485781,-98.138398,5
162,0,2,13.0,20.495656,-98.142581,5
163,0,3,12.66666667,20.464037,-98.134131,5
164,0,3,10.66666667,20.543366,-98.171084,5
165,0,1,17.0,20.55128,-98.182608,5
166,0,2,31.0,20.532927,-98.163884,5
167,0,3,14.66666667,20.484347,-98.155219,5
168,0,2,9.0,20.53135,-98.189668,5
169,0,2,13.5,20.48843,-98.242866,5
170,0,2,19.5,20.470986,-98.259796,5
171,0,3,15.33333333,20.468372,-98.176532,5
172,0,1,25.0,20.535196,-98.111442,5
173,0,3,9.0,20.488591,-98.181538,5
174,0,2,18.5,20.462529,-98.240426,5
175,0,1,18.0,20.547334,-98.20143,5
176,0,3,17.66666667,20.485035,-98.158633,5
177,0,2,14.5,20.546881,-98.177417,5
178,0,1,29.0,20.472912,-98.238705,5
179,0,3,15.33333333,20.476776,-98.237931,5
180,0,2,26.0,20.50198,-98.157691,5
181,0,2,11.0,20.515205,-98.215453,5
182,0,3,13.0,20.524944,-98.199106,5
183,0,2,30.0,20.458041,-98.151099,5
184,0,2,9.5,20.537659,-98.182545,5
185,0,1,18.0,20.483874,-98.142607,5
186,0,2,19.5,20.508503,-98.188533,5
187,0,2,22.0,20.540135,-98.202383,5
188,0,2,12.0,20.502625,-98.23217,5
189,0,2,19.0,20.534024,-98.196457,5
190,0,2,16.0,20.4929,-98.1868,5
191,0,3,17.66666667,20.472113,-98.208568,5
192,0,2,6.5,20.472324,-98.226688,5
193,0,2,29.5,20.511284,-98.141649,5
194,0,3,6.333333333,20.467267,-98.146274,5
195,0,2,23.5,20.464092,-98.161028,5
196,0,2,12.0,20.5299,-98.2314,5
197,0,2,6.5,20.478697,-98.190977,5
198,0,2,11.5,20.492069,-98.138465,5
199,0,2,13.0,20.500178,-98.160615,5
200,0,2,41.5,20.463978,-98.146695,5
201,0,1,0.0,20.496988,-98.259924,5
