Id_Cliente,Frecuencia,Vol_Entrega,lat,lon,cluster
1,1,2,20.506052,-98.212377,cluster5
2,1,17,20.458128,-98.221248,cluster5
3,1,2,20.530427,-98.23686,cluster6
4,3,15,20.488655,-98.20294,cluster3
5,1,2,20.533253,-98.219669,cluster6
6,1,19,20.53106,-98.182642,cluster6
7,1,6,20.594012,-98.1875,cluster6
8,1,20,20.489329,-98.166364,cluster5
9,1,15,20.5751,-98.2281,cluster6
10,1,10,20.5807,-98.2694,cluster6
11,1,45,20.458076,-98.175466,cluster5
12,1,2,20.490847,-98.184088,cluster5
13,2,13,20.537454,-98.140527,cluster3
14,1,17,20.523875,-98.238248,cluster5
15,1,21,20.56259,-98.138353,cluster6
16,1,12,20.5433,-98.228,cluster6
17,2,13.5,20.519419,-98.228799,cluster3
18,2,7,20.539439,-98.231014,cluster3
19,1,11,20.547675,-98.130903,cluster6
20,1,12,20.5715,-98.2583,cluster6
21,1,20,20.6018,-98.2287,cluster6
22,2,12,20.534294,-98.163798,cluster3
23,2,10,20.465644,-98.222902,cluster3
24,2,17,20.499111,-98.128627,cluster3
25,2,15,20.473419,-98.221992,cluster3
26,1,14,20.554421,-98.15779,cluster6
27,3,18.333333,20.465444,-98.173468,cluster3
28,2,11.5,20.502785,-98.164261,cluster3
29,2,23.5,20.493008,-98.151931,cluster3
30,2,14.5,20.49743,-98.145606,cluster3
31,2,47.5,20.495552,-98.18625,cluster3
32,2,16.5,20.45594,-98.211674,cluster3
33,2,11,20.48117,-98.155563,cluster3
34,1,25,20.493948,-98.224957,cluster5
35,2,16.5,20.482479,-98.1758,cluster3
36,2,22.5,20.554633,-98.195613,cluster3
37,2,18.5,20.462128,-98.161783,cluster3
38,2,11,20.547421,-98.190225,cluster3
39,2,23,20.473162,-98.147779,cluster3
40,2,15.5,20.463607,-98.180356,cluster3
41,2,13,20.522908,-98.208586,cluster3
42,2,10.5,20.533674,-98.173938,cluster3
43,2,12,20.493086,-98.117522,cluster3
44,2,12,20.526645,-98.15602,cluster3
45,1,28,20.501725,-98.127486,cluster5
46,3,9.333333,20.532144,-98.186759,cluster3
47,2,15,20.47287,-98.192298,cluster3
48,2,3.5,20.49484,-98.228006,cluster3
