Id_Cliente,id_Agencia,Frecuencia,Vol_Entrega,lat,lon,cluster
1,A1,1,2,20.506052,-98.212377,cluster3
2,A1,1,17,20.458128,-98.221248,cluster3
3,A1,1,2,20.530427,-98.23686,cluster6
4,A1,3,15,20.488655,-98.20294,cluster3
5,A1,1,2,20.533253,-98.219669,cluster6
6,A1,1,19,20.53106,-98.182642,cluster3
7,A1,1,6,20.594012,-98.1875,cluster6
8,A1,1,20,20.489329,-98.166364,cluster3
9,A1,1,15,20.5751,-98.2281,cluster6
10,A1,1,10,20.5807,-98.2694,cluster6
11,A1,1,45,20.458076,-98.175466,cluster3
12,A1,1,2,20.490847,-98.184088,cluster3
13,A1,2,13,20.537454,-98.140527,cluster6
14,A1,1,17,20.523875,-98.238248,cluster3
15,A1,1,21,20.56259,-98.138353,cluster6
16,A1,1,12,20.5433,-98.228,cluster6
17,A1,2,13.5,20.519419,-98.228799,cluster3
18,A1,2,7,20.539439,-98.231014,cluster6
19,A1,1,11,20.547675,-98.130903,cluster6
20,A1,1,12,20.5715,-98.2583,cluster6
21,A1,1,20,20.6018,-98.2287,cluster6
22,A1,2,12,20.534294,-98.163798,cluster6
23,A1,2,10,20.465644,-98.222902,cluster3
24,A1,2,17,20.499111,-98.128627,cluster3
25,A1,2,15,20.473419,-98.221992,cluster3
26,A1,1,14,20.554421,-98.15779,cluster6
27,A1,3,18.333333,20.465444,-98.173468,cluster3
28,A1,2,11.5,20.502785,-98.164261,cluster3
29,A1,2,23.5,20.493008,-98.151931,cluster3
30,A1,2,14.5,20.49743,-98.145606,cluster3
31,A1,2,47.5,20.495552,-98.18625,cluster3
32,A1,2,16.5,20.45594,-98.211674,cluster3
33,A1,2,11,20.48117,-98.155563,cluster3
34,A1,1,25,20.493948,-98.224957,cluster3
35,A1,2,16.5,20.482479,-98.1758,cluster3
36,A1,2,22.5,20.554633,-98.195613,cluster6
37,A1,2,18.5,20.462128,-98.161783,cluster3
38,A1,2,11,20.547421,-98.190225,cluster6
39,A1,2,23,20.473162,-98.147779,cluster3
40,A1,2,15.5,20.463607,-98.180356,cluster3
41,A1,2,13,20.522908,-98.208586,cluster3
42,A1,2,10.5,20.533674,-98.173938,cluster6
43,A1,2,12,20.493086,-98.117522,cluster3
44,A1,2,12,20.526645,-98.15602,cluster3
45,A1,1,28,20.501725,-98.127486,cluster3
46,A1,3,9.333333,20.532144,-98.186759,cluster6
47,A1,2,15,20.47287,-98.192298,cluster3
48,A1,2,3.5,20.49484,-98.228006,cluster3
49,A1,2,18.5,20.496306,-98.235611,cluster3
50,A1,2,10.5,20.516132,-98.212081,cluster3
51,A1,1,23,20.4501,-98.2166,cluster3
52,A1,2,14.5,20.518438,-98.223294,cluster3
53,A1,2,43,20.503456,-98.144774,cluster3
54,A1,2,8.5,20.577456,-98.185753,cluster6
55,A1,2,10.5,20.54071,-98.187598,cluster6
56,A1,3,18.333333,20.458749,-98.170414,cluster3
57,A1,3,21.666667,20.495939,-98.18733,cluster3
58,A1,3,14.333333,20.480026,-98.178043,cluster3
59,A1,2,5,20.534038,-98.204665,cluster6
60,A1,2,4,20.529422,-98.204617,cluster6
61,A1,2,10,20.50756,-98.222328,cluster3
62,A1,2,22.5,20.462422,-98.149805,cluster3
63,A1,1,36,20.449966,-98.216872,cluster3
64,A1,2,7.5,20.488714,-98.157698,cluster3
65,A1,3,17,20.481474,-98.145925,cluster3
66,A1,2,9,20.548609,-98.179069,cluster6
67,A1,2,4.5,20.532515,-98.182858,cluster6
68,A1,2,15,20.515283,-98.199704,cluster3
69,A1,2,14,20.524724,-98.174792,cluster3
70,A1,2,6.5,20.52615,-98.177082,cluster6
71,A1,2,35.5,20.51908,-98.124314,cluster3
72,A1,2,14.5,20.508635,-98.169386,cluster3
73,A1,2,21,20.527413,-98.227856,cluster3
74,A1,2,14.5,20.477549,-98.211909,cluster3
75,A1,2,9.5,20.492629,-98.230754,cluster3
76,A1,2,30.5,20.485572,-98.19912,cluster3
77,A1,2,19.5,20.454866,-98.179994,cluster3
78,A1,2,9.5,20.5314,-98.2046,cluster6
79,A1,2,9.5,20.5235,-98.2306,cluster3
80,A1,2,13.5,20.503683,-98.161735,cluster3
81,A1,1,31,20.504232,-98.173212,cluster3
82,A1,2,15,20.448693,-98.211302,cluster3
83,A1,2,5.5,20.4802,-98.2382,cluster3
84,A1,2,17,20.520784,-98.144438,cluster3
85,A1,1,3,20.4696,-98.2186,cluster3
86,A1,2,22.5,20.492217,-98.149391,cluster3
