Id_Cliente,id_Agencia,Frecuencia,Vol_Entrega,lat,lon
1,A1,1,2,20.506052,-98.212377
2,A1,1,17,20.458128,-98.221248
3,A1,1,2,20.530427,-98.23686
4,A1,3,15,20.488655,-98.20294
5,A1,1,2,20.533253,-98.219669
6,A1,1,19,20.53106,-98.182642
7,A1,1,6,20.594012,-98.1875
8,A1,1,20,20.489329,-98.166364
9,A1,1,15,20.5751,-98.2281
10,A1,1,10,20.5807,-98.2694
11,A1,1,45,20.458076,-98.175466
12,A1,1,2,20.490847,-98.184088
13,A1,2,13,20.537454,-98.140527
14,A1,1,17,20.523875,-98.238248
15,A1,1,21,20.56259,-98.138353
16,A1,1,12,20.5433,-98.228
17,A1,2,13.5,20.519419,-98.228799
18,A1,2,7,20.539439,-98.231014
19,A1,1,11,20.547675,-98.130903
20,A1,1,12,20.5715,-98.2583
21,A1,1,20,20.6018,-98.2287
22,A1,2,12,20.534294,-98.163798
23,A1,2,10,20.465644,-98.222902
24,A1,2,17,20.499111,-98.128627
25,A1,2,15,20.473419,-98.221992
26,A1,1,14,20.554421,-98.15779
27,A1,3,18.33333333,20.465444,-98.173468
28,A1,2,11.5,20.502785,-98.164261
29,A1,2,23.5,20.493008,-98.151931
30,A1,2,14.5,20.49743,-98.145606
31,A1,2,47.5,20.495552,-98.18625
32,A1,2,16.5,20.45594,-98.211674
33,A1,2,11,20.48117,-98.155563
34,A1,1,25,20.493948,-98.224957
35,A1,2,16.5,20.482479,-98.1758
36,A1,2,22.5,20.554633,-98.195613
37,A1,2,18.5,20.462128,-98.161783
38,A1,2,11,20.547421,-98.190225
39,A1,2,23,20.473162,-98.147779
40,A1,2,15.5,20.463607,-98.180356
41,A1,2,13,20.522908,-98.208586
42,A1,2,10.5,20.533674,-98.173938
43,A1,2,12,20.493086,-98.117522
44,A1,2,12,20.526645,-98.15602
45,A1,1,28,20.501725,-98.127486
46,A1,3,9.333333333,20.532144,-98.186759
47,A1,2,15,20.47287,-98.192298
48,A1,2,3.5,20.49484,-98.228006
49,A1,2,18.5,20.496306,-98.235611
50,A1,2,10.5,20.516132,-98.212081
51,A1,1,23,20.4501,-98.2166
52,A1,2,14.5,20.518438,-98.223294
53,A1,2,43,20.503456,-98.144774
54,A1,2,8.5,20.577456,-98.185753
55,A1,2,10.5,20.54071,-98.187598
56,A1,3,18.33333333,20.458749,-98.170414
57,A1,3,21.66666667,20.495939,-98.18733
58,A1,3,14.33333333,20.480026,-98.178043
59,A1,2,5,20.534038,-98.204665
60,A1,2,4,20.529422,-98.204617
61,A1,2,10,20.50756,-98.222328
62,A1,2,22.5,20.462422,-98.149805
63,A1,1,36,20.449966,-98.216872
64,A1,2,7.5,20.488714,-98.157698
65,A1,3,17,20.481474,-98.145925
66,A1,2,9,20.548609,-98.179069
67,A1,2,4.5,20.532515,-98.182858
68,A1,2,15,20.515283,-98.199704
69,A1,2,14,20.524724,-98.174792
70,A1,2,6.5,20.52615,-98.177082
71,A1,2,35.5,20.51908,-98.124314
72,A1,2,14.5,20.508635,-98.169386
73,A1,2,21,20.527413,-98.227856
74,A1,2,14.5,20.477549,-98.211909
75,A1,2,9.5,20.492629,-98.230754
76,A1,2,30.5,20.485572,-98.19912
77,A1,2,19.5,20.454866,-98.179994
78,A1,2,9.5,20.5314,-98.2046
79,A1,2,9.5,20.5235,-98.2306
80,A1,2,13.5,20.503683,-98.161735
81,A1,1,31,20.504232,-98.173212
82,A1,2,15,20.448693,-98.211302
83,A1,2,5.5,20.4802,-98.2382
84,A1,2,17,20.520784,-98.144438
85,A1,1,3,20.4696,-98.2186
86,A1,2,22.5,20.492217,-98.149391
87,A1,2,18,20.476243,-98.168691
88,A1,1,15,20.497234,-98.232715
89,A1,2,13,20.46455,-98.230342
90,A1,2,15.5,20.483394,-98.15303
91,A1,2,25.5,20.470415,-98.186302
92,A1,2,8.5,20.527643,-98.191137
93,A1,2,17.5,20.474128,-98.233201
94,A1,2,9,20.495234,-98.217019
95,A1,2,10.5,20.536645,-98.18587
96,A1,2,18.5,20.473549,-98.18943
97,A1,2,34.5,20.474206,-98.208561
98,A1,1,21,20.485109,-98.246224
99,A1,2,8,20.527906,-98.17441
100,A1,2,21.5,20.50483,-98.141064
101,A1,2,7.5,20.4778,-98.1815
102,A1,3,10,20.5234,-98.18371
103,A1,2,20.5,20.475039,-98.153927
104,A1,2,19,20.521495,-98.229581
105,A1,2,12,20.528102,-98.217267
106,A1,2,22,20.480415,-98.279344
107,A1,1,28,20.566921,-98.133002
108,A1,2,13,20.486465,-98.129685
109,A1,2,11.5,20.485352,-98.192131
110,A1,3,18.33333333,20.485803,-98.188667
111,A1,3,14,20.461937,-98.177861
112,A1,1,4,20.52075,-98.259616
113,A1,1,8,20.532465,-98.203786
114,A1,3,9,20.522612,-98.185379
115,A1,2,22.5,20.551607,-98.137348
116,A1,2,11,20.465089,-98.238769
117,A1,2,39,20.470469,-98.19979
118,A1,2,13,20.53624,-98.199864
119,A1,2,36,20.489828,-98.202713
120,A1,3,8,20.478005,-98.206183
121,A1,1,1,20.52385,-98.213734
122,A1,2,28.5,20.525172,-98.157348
123,A1,1,25,20.479673,-98.16073
124,A1,2,13.5,20.543262,-98.178655
125,A1,2,25,20.495153,-98.131315
126,A1,2,24.5,20.494344,-98.226674
127,A1,2,18,20.469681,-98.175219
128,A1,1,23,20.504168,-98.147131
129,A1,1,6,20.540766,-98.184941
130,A1,2,12,20.52692,-98.213034
131,A1,2,10.5,20.467558,-98.21856
132,A1,2,5,20.5493,-98.202245
133,A1,2,29,20.490107,-98.139182
134,A1,2,17.5,20.462276,-98.226731
135,A1,2,16,20.482632,-98.236812
136,A1,2,7.5,20.491636,-98.24289
137,A1,2,11.5,20.538559,-98.199734
138,A1,3,26,20.474886,-98.194088
139,A1,2,11,20.47705,-98.236394
140,A1,2,16,20.481562,-98.15631
141,A1,2,16.5,20.557,-98.1445
142,A1,3,18.33333333,20.502078,-98.218762
143,A1,1,8,20.5309,-98.2139
144,A1,2,9,20.537185,-98.150875
145,A1,2,14.5,20.465162,-98.195285
146,A1,2,17,20.480215,-98.177162
147,A1,2,12,20.490545,-98.23819
148,A1,2,11,20.505463,-98.215231
149,A1,2,20.5,20.499236,-98.181788
150,A1,2,17.5,20.47601,-98.222711
151,A1,2,13.5,20.5263,-98.1951
152,A1,2,10,20.552569,-98.192705
153,A1,2,13,20.474364,-98.227089
154,A1,2,11.5,20.48298,-98.124189
155,A1,2,8,20.542884,-98.194375
156,A1,2,9.5,20.486144,-98.251624
157,A1,2,17,20.481622,-98.172185
158,A1,2,31.5,20.518287,-98.161252
159,A1,2,7.5,20.465597,-98.213555
160,A1,2,25.5,20.4616,-98.1946
161,A1,2,14,20.485781,-98.138398
162,A1,2,13,20.495656,-98.142581
163,A1,3,12.66666667,20.464037,-98.134131
164,A1,3,10.66666667,20.543366,-98.171084
165,A1,1,17,20.55128,-98.182608
166,A1,2,31,20.532927,-98.163884
167,A1,3,14.66666667,20.484347,-98.155219
168,A1,2,9,20.53135,-98.189668
169,A1,2,13.5,20.48843,-98.242866
170,A1,2,19.5,20.470986,-98.259796
171,A1,3,15.33333333,20.468372,-98.176532
172,A1,1,25,20.535196,-98.111442
173,A1,3,9,20.488591,-98.181538
174,A1,2,18.5,20.462529,-98.240426
175,A1,1,18,20.547334,-98.20143
176,A1,3,17.66666667,20.485035,-98.158633
177,A1,2,14.5,20.546881,-98.177417
178,A1,1,29,20.472912,-98.238705
179,A1,3,15.33333333,20.476776,-98.237931
180,A1,2,26,20.50198,-98.157691
181,A1,2,11,20.515205,-98.215453
182,A1,3,13,20.524944,-98.199106
183,A1,2,30,20.458041,-98.151099
184,A1,2,9.5,20.537659,-98.182545
185,A1,1,18,20.483874,-98.142607
186,A1,2,19.5,20.508503,-98.188533
187,A1,2,22,20.540135,-98.202383
188,A1,2,12,20.502625,-98.23217
189,A1,2,19,20.534024,-98.196457
190,A1,2,16,20.4929,-98.1868
191,A1,3,17.66666667,20.472113,-98.208568
192,A1,2,6.5,20.472324,-98.226688
193,A1,2,29.5,20.511284,-98.141649
194,A1,3,6.333333333,20.467267,-98.146274
195,A1,2,23.5,20.464092,-98.161028
196,A1,2,12,20.5299,-98.2314
197,A1,2,6.5,20.478697,-98.190977
198,A1,2,11.5,20.492069,-98.138465
199,A1,2,13,20.500178,-98.160615
200,A1,2,41.5,20.463978,-98.146695
201,A1,1,0,20.496988,-98.259924
202,A1,2,17.5,20.527082,-98.228124
203,A1,2,9,20.544527,-98.223645
204,A1,1,13,20.542844,-98.192011
205,A1,2,12,20.494727,-98.254899
206,A1,2,14,20.532453,-98.114173
207,A1,2,23.5,20.494613,-98.168092
208,A1,2,30.5,20.457026,-98.170368
209,A1,2,19,20.458991,-98.212984
210,A1,2,27.5,20.480665,-98.210798
211,A1,2,22,20.482446,-98.158314
212,A1,2,10.5,20.525219,-98.238348
213,A1,1,26,20.500224,-98.132374
214,A1,2,11.5,20.473127,-98.216602
215,A1,1,24,20.503887,-98.232414
216,A1,1,53,20.537173,-98.165541
217,A1,1,6,20.526903,-98.199759
218,A1,2,12,20.524703,-98.216829
219,A1,2,10.5,20.540418,-98.186565
220,A1,1,5,20.444458,-98.23025
221,A1,2,22,20.475413,-98.256243
222,A1,3,14.66666667,20.476419,-98.176469
223,A1,2,7.5,20.506731,-98.157778
224,A1,2,35.5,20.523549,-98.145043
225,A1,1,17,20.507752,-98.230363
226,A1,2,7.5,20.469296,-98.240958
227,A1,1,27,20.470139,-98.241015
228,A1,2,7.5,20.555402,-98.201212
229,A1,2,9.5,20.475022,-98.167216
230,A1,2,26,20.487252,-98.175219
231,A1,2,17,20.490451,-98.136738
232,A1,2,14.5,20.52368,-98.184811
233,A1,2,22,20.506495,-98.164682
234,A1,2,21,20.520771,-98.146915
235,A1,2,12.5,20.461545,-98.215923
236,A1,2,15.5,20.497806,-98.25133
237,A1,2,20.5,20.485022,-98.206368
238,A1,2,23.5,20.491647,-98.204934
239,A1,2,21,20.472048,-98.241901
240,A1,2,11,20.483059,-98.240524
241,A1,2,20,20.478123,-98.179653
242,A1,1,42,20.481878,-98.251538
243,A1,1,17,20.471327,-98.167084
244,A1,1,3,20.479049,-98.147094
245,A1,1,6,20.535974,-98.221491
246,A1,1,2,20.486371,-98.249693
247,A1,1,29,20.513302,-98.156207
248,A1,1,57,20.508027,-98.115295
249,A1,1,8,20.47025,-98.160619
250,A1,1,66,20.536498,-98.172849
251,A1,1,6,20.451165,-98.180464
252,A1,1,2,20.534159,-98.145739
253,A1,1,14,20.492923,-98.230725
254,A1,2,1,20.449226,-98.192193
255,A1,1,23,20.498026,-98.209776
256,A1,1,20,20.489146,-98.207543
257,A1,1,27,20.543719,-98.116523
258,A1,2,28,20.522014,-98.234268
259,A1,1,3,20.542929,-98.176835
260,A1,1,41,20.502183,-98.217942
261,A1,1,15,20.498243,-98.176756
262,A1,1,4,20.554029,-98.199161
263,A1,1,2,20.47892,-98.245175
264,A1,1,26,20.546326,-98.160166
265,A1,1,13,20.497653,-98.169281
266,A1,1,3,20.504547,-98.254895
267,A1,1,7,20.485918,-98.172226
268,A1,1,3,20.438257,-98.145764
269,A1,1,3,20.460061,-98.171306
270,A1,2,1.5,20.52679,-98.232656
271,A1,1,3,20.486376,-98.126957
272,A1,1,4,20.53756,-98.198954
273,A1,1,48,20.483408,-98.170687
274,A1,1,6,20.523197,-98.238487
275,A1,1,2,20.487408,-98.259557
276,A1,1,21,20.561239,-98.12138
277,A1,1,4,20.608307,-98.178299
278,A1,1,5,20.492779,-98.135988
279,A1,1,27,20.545103,-98.217644
280,A1,1,7,20.481662,-98.132009
281,A1,1,7,20.484878,-98.24966
282,A1,1,3,20.475486,-98.236836
283,A1,1,5,20.472068,-98.189683
284,A1,2,30,20.521074,-98.226608
285,A1,1,4,20.533871,-98.225585
286,A1,1,2,20.479056,-98.186538
287,A1,1,30,20.477396,-98.14318
288,A1,1,14,20.558432,-98.131666
289,A1,1,15,20.557407,-98.144836
290,A1,1,46,20.49258,-98.132138
291,A1,1,47,20.489327,-98.161687
292,A1,1,3,20.546785,-98.206027
293,A1,1,5,20.486987,-98.218595
294,A1,1,10,20.444363,-98.220971
295,A1,1,7,20.490611,-98.16256
296,A1,1,24,20.530007,-98.15869
297,A1,1,12,20.516655,-98.229443
298,A1,1,28,20.458583,-98.179878
299,A1,1,56,20.487044,-98.138475
300,A1,1,14,20.486814,-98.124849
301,A1,1,35,20.526963,-98.219813
302,A1,1,4,20.505166,-98.204749
303,A1,2,40.5,20.520522,-98.233359
304,A1,1,3,20.473778,-98.232413
305,A1,1,15,20.517963,-98.229813
306,A1,1,31,20.50594,-98.236915
307,A1,1,21,20.465515,-98.221186
308,A1,1,1,20.48265,-98.152673
309,A1,1,15,20.455515,-98.216186
310,A1,1,12,20.47865,-98.156673
311,A1,1,12,20.49565,-98.153673
312,A1,1,4,20.531512,-98.229192
313,A1,1,2,20.556596,-98.211056
314,A1,1,3,20.545223,-98.207754
315,A1,1,5,20.483907,-98.142053
316,A1,1,22,20.487851,-98.156746
317,A1,1,24,20.462826,-98.180461
318,A1,1,4,20.5185,-98.257399
319,A1,1,15,20.561207,-98.212554
320,A1,1,7,20.57077,-98.223113
321,A1,1,19,20.554936,-98.214016
322,A1,1,5,20.545462,-98.203068
323,A1,1,41,20.551252,-98.184633
324,A1,1,5,20.542151,-98.188733
325,A1,1,49,20.555591,-98.199444
326,A1,1,5,20.550558,-98.197433
327,A1,1,2,20.504764,-98.167592
328,A1,1,12,20.50894,-98.237915
329,A1,1,17,20.5554,-98.212024
330,A1,1,18,20.546635,-98.203783
331,A1,1,31,20.462594,-98.221975
332,A1,1,32,20.549198,-98.20857
333,A1,2,14,20.562797,-98.135268
334,A1,1,32,20.5115,-98.151
335,A1,1,26,20.459029,-98.279071
336,A1,1,6,20.528095,-98.21499
337,A1,1,15,20.448393,-98.16353
338,A1,1,20,20.508787,-98.108122
339,A1,1,22,20.4721,-98.1978
340,A1,1,62,20.444266,-98.285115
341,A1,1,34,20.4851,-98.1504
342,A1,1,44,20.574754,-98.18632
343,A1,1,69,20.448334,-98.213647
344,A1,1,40,20.538471,-98.229586
345,A1,1,30,20.542353,-98.244445
346,A1,1,108,20.502366,-98.246438
347,A1,1,43,20.507392,-98.201017
348,A1,1,12,20.502392,-98.194017
349,A1,1,18,20.456525,-98.146253
350,A1,1,11,20.489839,-98.202015
351,A1,1,20,20.552373,-98.147223
352,A1,1,28,20.478265,-98.22267
353,A1,1,12,20.541469,-98.224333
354,A1,1,22,20.493456,-98.191127
355,A1,2,14.5,20.549805,-98.155257
356,A1,1,47,20.517128,-98.183256
357,A1,1,54,20.483604,-98.236633
358,A1,1,16,20.475181,-98.154433
359,A1,1,35,20.496239,-98.23027
360,A1,1,5,20.466435,-98.172992
361,A1,1,15,20.463854,-98.170305
362,A1,1,26,20.489321,-98.189911
363,A1,1,9,20.446245,-98.223469
364,A1,1,16,20.525919,-98.269833
365,A1,1,13,20.464988,-98.249688
366,A1,1,23,20.504021,-98.134973
367,A1,1,2,20.53896,-98.225699
368,A1,1,67,20.489431,-98.265608
369,A1,1,70,20.472213,-98.160235
370,A1,1,73,20.496802,-98.23766
371,A1,1,9,20.502564,-98.181605
372,A1,1,9,20.492686,-98.137022
373,A1,1,24,20.552293,-98.205147
374,A1,1,20,20.515455,-98.134143
375,A1,1,34,20.450246,-98.172769
376,A1,1,9,20.463121,-98.256313
377,A1,1,12,20.453799,-98.264035
378,A1,1,29,20.502717,-98.240577
379,A1,1,22,20.551164,-98.1367
380,A1,1,11,20.488485,-98.154869
381,A1,2,56,20.513097,-98.176797
382,A1,1,51,20.451104,-98.169372
383,A1,1,13,20.493018,-98.125232
384,A1,1,29,20.478996,-98.168345
385,A1,1,42,20.470572,-98.13892
386,A1,1,16,20.512783,-98.242682
387,A1,1,4,20.449425,-98.228003
388,A1,1,101,20.467816,-98.185374
389,A1,2,11,20.450539,-98.209192
390,A1,1,18,20.506879,-98.249588
391,A1,1,3,20.500445,-98.151589
392,A1,1,38,20.52949,-98.235638
393,A1,2,36,20.459833,-98.15598
394,A1,1,24,20.534423,-98.235808
395,A1,1,9,20.520959,-98.224556
396,A1,2,36.5,20.502616,-98.138343
397,A1,2,46,20.460547,-98.245669
398,A1,2,19.5,20.485884,-98.15223
399,A1,1,164,20.53009,-98.132901
400,A1,1,38,20.551232,-98.175937
401,A1,1,41,20.447038,-98.169557
402,A1,1,3,20.5208,-98.22683
403,A1,1,39,20.494005,-98.25067
404,A1,1,19,20.482493,-98.15975
405,A1,1,29,20.535768,-98.22482
406,A1,1,3,20.480497,-98.128278
407,A1,1,37,20.483479,-98.240267
408,A1,1,14,20.494869,-98.20421
409,A1,1,27,20.524715,-98.232961
410,A1,1,51,20.4771,-98.1707
411,A1,1,93,20.511448,-98.197758
412,A1,1,13,20.500065,-98.125787
413,A1,1,6,20.489166,-98.237239
414,A1,1,139,20.491714,-98.198098
415,A1,1,3,20.497193,-98.149768
416,A1,1,1,20.500979,-98.269139
417,A1,1,12,20.520087,-98.229038
418,A1,1,3,20.51326,-98.274698
419,A1,1,2,20.495551,-98.131801
